OpenML ID,N(feature),N(sample),All boolean?,Half Boolean?,ChEMBL ID,File name
6337,43,10,False,False,1075174,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL1075174
6338,43,14,False,False,1075252,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL1075252
6339,43,40,False,False,1075282,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL1075282
6340,43,27,False,False,1163122,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL1163122
6341,43,73,False,False,1163106,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL1163106
6342,43,541,False,False,1075115,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL1075115
6343,43,74,False,False,1795135,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL1795135
6344,43,72,False,False,1908386,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL1908386
6345,43,14,False,False,1926495,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL1926495
6346,43,559,False,False,1952,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL1952
6347,43,74,False,False,2007622,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL2007622
6348,43,10,False,False,2006,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL2006
6349,43,396,False,False,2007629,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL2007629
6350,43,269,False,False,2055,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL2055
6351,43,59,False,False,2069161,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL2069161
6352,43,103,False,False,2074,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL2074
6353,43,53,False,False,2099,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL2099
6354,43,50,False,False,2113,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL2113
6355,43,278,False,False,2146296,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL2146296
6356,43,1577,False,False,210,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL210
6357,43,73,False,False,2447,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL2447
6358,43,165,False,False,2461,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL2461
6359,43,99,False,False,2490,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL2490
6360,43,52,False,False,2517,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL2517
6361,43,226,False,False,2714,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL2714
6362,43,121,False,False,2717,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL2717
6363,43,83,False,False,2777,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL2777
6364,43,194,False,False,2778,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL2778
6365,43,1265,False,False,281,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL281
6366,43,1211,False,False,2850,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL2850
6367,43,14,False,False,296,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL296
6368,43,20,False,False,3023,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL3023
6369,43,3438,False,False,256,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL256
6370,43,298,False,False,320,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL320
6371,43,28,False,False,3225,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL3225
6372,43,36,False,False,3241,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL3241
6373,43,62,False,False,3309,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL3309
6374,43,11,False,False,3323,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL3323
6375,43,29,False,False,3346,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL3346
6376,43,101,False,False,3349,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL3349
6377,43,1240,False,False,3229,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL3229
6378,43,12,False,True,3452,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL3452
6379,43,29,False,False,3511,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL3511
6380,43,2577,False,False,301,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL301
6381,43,29,False,False,3626,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL3626
6382,43,1100,False,False,3473,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL3473
6383,43,27,False,False,3686,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL3686
6384,43,17,False,False,3703,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL3703
6385,43,151,False,False,3721,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL3721
6386,43,123,False,False,3802,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL3802
6387,43,61,False,False,3840,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL3840
6388,43,39,False,False,3849,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL3849
6389,43,2615,False,False,321,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL321
6390,43,24,False,False,3932,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL3932
6391,43,903,False,False,3836,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL3836
6392,43,694,False,False,3886,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL3886
6393,43,11,False,False,3992,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL3992
6394,43,36,False,False,4009,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL4009
6395,43,13,False,False,4022,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL4022
6396,43,29,False,False,4065,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL4065
6397,43,262,False,False,4080,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL4080
6398,43,27,False,False,4161,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL4161
6399,43,20,False,False,4177,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL4177
6400,43,14,False,False,4199,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL4199
6401,43,293,False,False,4423,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL4423
6402,43,22,False,False,4595,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL4595
6403,43,81,False,False,4597,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL4597
6404,43,887,False,False,4501,QSAR-DATASET-FOR-DRUG-TARGET-CHEMBL4501
