,Unnamed: 0,File directory,File name,Dimension(filtered),N(sample),N(filtered feature),Repetition Rate,File directory(CEB server/Iris)
0,0,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL1741201.csv,data_CHEMBL1741201.csv,"(191, 250)",191,250,0.518324607329843,/home/iris/PA/qsar_data_unsorted/data_CHEMBL1741201.csv
1,1,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL3563.csv,data_CHEMBL3563.csv,"(482, 691)",482,691,0.1037344398340249,/home/iris/PA/qsar_data_unsorted/data_CHEMBL3563.csv
2,2,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL5112.csv,data_CHEMBL5112.csv,"(76, 216)",76,216,0.06578947368421052,/home/iris/PA/qsar_data_unsorted/data_CHEMBL5112.csv
3,3,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL4218.csv,data_CHEMBL4218.csv,"(551, 897)",551,897,0.4664246823956443,/home/iris/PA/qsar_data_unsorted/data_CHEMBL4218.csv
4,4,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL2669.csv,data_CHEMBL2669.csv,"(36, 106)",36,106,0.05555555555555555,/home/iris/PA/qsar_data_unsorted/data_CHEMBL2669.csv
5,5,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL1741215.csv,data_CHEMBL1741215.csv,"(993, 895)",993,895,0.1973816717019134,/home/iris/PA/qsar_data_unsorted/data_CHEMBL1741215.csv
6,6,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL2097164.csv,data_CHEMBL2097164.csv,"(93, 249)",93,249,0.12903225806451613,/home/iris/PA/qsar_data_unsorted/data_CHEMBL2097164.csv
7,7,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL2034803.csv,data_CHEMBL2034803.csv,"(36, 34)",36,34,0.027777777777777776,/home/iris/PA/qsar_data_unsorted/data_CHEMBL2034803.csv
8,8,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL4556.csv,data_CHEMBL4556.csv,"(80, 148)",80,148,0.3125,/home/iris/PA/qsar_data_unsorted/data_CHEMBL4556.csv
9,9,/Users/dangoo/My documents/PhD Research/Pairwise Approach/RP/qsar_data_unsorted/data_CHEMBL2899.csv,data_CHEMBL2899.csv,"(50, 56)",50,56,0.06,/home/iris/PA/qsar_data_unsorted/data_CHEMBL2899.csv
